Agency,Type,Distribution,Product,Duration,Destination,Sales,Commision,Age,Claim
TST,Travel Agency,Offline,Travel Cruise Protect,38,MALAYSIA,30.0,10.5,63,No
JZI,Airlines,Online,Basic Plan,39,HONG KONG,26.0,9.1,54,No
JZI,Airlines,Online,Basic Plan,4,MYANMAR,18.0,6.3,30,No
JZI,Airlines,Online,Basic Plan,68,CHINA,40.0,14.0,21,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,28,No
C2B,Airlines,Online,Silver Plan,64,SINGAPORE,63.5,15.88,60,No
JZI,Airlines,Online,Value Plan,5,CHINA,45.0,15.75,42,No
C2B,Airlines,Online,Silver Plan,14,SINGAPORE,43.55,10.89,47,No
RAB,Airlines,Online,Value Plan,2,BRUNEI DARUSSALAM,15.0,6.0,66,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,20.0,5.0,36,No
JZI,Airlines,Online,Basic Plan,10,CHINA,35.0,12.25,59,No
JZI,Airlines,Online,Basic Plan,39,INDONESIA,33.0,11.55,44,No
C2B,Airlines,Online,Bronze Plan,18,SINGAPORE,33.5,8.38,68,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,22.5,5.63,41,No
JZI,Airlines,Online,Basic Plan,14,CHINA,35.0,12.25,47,No
C2B,Airlines,Online,Silver Plan,41,SINGAPORE,33.5,8.38,29,No
RAB,Airlines,Online,Value Plan,15,BRUNEI DARUSSALAM,31.0,12.4,37,No
JZI,Airlines,Online,Basic Plan,15,CHINA,22.0,7.7,38,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,18.5,4.63,37,No
JZI,Airlines,Online,Basic Plan,35,INDONESIA,22.0,7.7,53,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,27.0,6.75,25,No
RAB,Airlines,Online,Value Plan,4,BRUNEI DARUSSALAM,15.0,6.0,36,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,20.0,5.0,42,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,45.0,11.25,51,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,17.0,4.25,75,No
C2B,Airlines,Online,Gold Plan,65,SINGAPORE,33.5,8.38,32,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,33.5,8.38,24,No
JZI,Airlines,Online,Basic Plan,6,HONG KONG,22.0,7.7,55,No
JZI,Airlines,Online,Basic Plan,13,INDONESIA,22.0,7.7,38,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,27.0,6.75,32,No
ART,Airlines,Online,24 Protect,16,CAMBODIA,3.22,1.13,48,No
ART,Airlines,Online,24 Protect,121,CAMBODIA,14.11,4.94,48,No
ART,Airlines,Online,24 Protect,2,PHILIPPINES,4.95,1.73,48,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,41.5,10.38,35,No
JZI,Airlines,Online,Basic Plan,63,CHINA,35.0,12.25,48,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,39,No
JZI,Airlines,Online,Basic Plan,42,VIET NAM,22.0,7.7,46,No
JZI,Airlines,Online,Basic Plan,22,HONG KONG,26.0,9.1,37,No
JZI,Airlines,Online,Basic Plan,26,CHINA,26.0,9.1,48,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,39.0,9.75,23,No
C2B,Airlines,Online,Silver Plan,35,SINGAPORE,47.5,11.88,31,No
JZI,Airlines,Online,Value Plan,7,CHINA,45.0,15.75,30,No
JZI,Airlines,Online,Basic Plan,12,THAILAND,22.0,7.7,66,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,27.75,6.94,25,No
JZI,Airlines,Online,Basic Plan,18,INDONESIA,22.0,7.7,45,No
JZI,Airlines,Online,Basic Plan,3,VIET NAM,18.0,6.3,49,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,24.5,6.13,38,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,24.0,6.0,54,No
JZI,Airlines,Online,Basic Plan,47,CHINA,50.0,17.5,31,No
C2B,Airlines,Online,Bronze Plan,87,SINGAPORE,52.65,13.16,42,No
JZI,Airlines,Online,Basic Plan,10,MACAO,26.0,9.1,27,No
JZI,Airlines,Online,Basic Plan,90,CHINA,44.0,15.4,62,No
JZI,Airlines,Online,Basic Plan,101,CHINA,40.0,14.0,51,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,26.5,6.63,36,No
JZI,Airlines,Online,Basic Plan,20,LAO PEOPLE'S DEMOCRATIC REPUBLIC,22.0,7.7,39,No
CSR,Travel Agency,Offline,Comprehensive Plan,29,THAILAND,29.0,9.57,73,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,39.0,9.75,24,Yes
JZI,Airlines,Online,Basic Plan,9,HONG KONG,0.0,9.1,31,No
C2B,Airlines,Online,Bronze Plan,54,SINGAPORE,33.5,8.38,23,No
C2B,Airlines,Online,Silver Plan,81,SINGAPORE,41.5,10.38,29,No
C2B,Airlines,Online,Gold Plan,13,SINGAPORE,63.7,15.93,53,No
JZI,Airlines,Online,Basic Plan,61,HONG KONG,26.0,9.1,42,No
JZI,Airlines,Online,Basic Plan,3,VIET NAM,18.0,6.3,63,No
JZI,Airlines,Online,Basic Plan,3,THAILAND,18.0,6.3,44,No
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,14.95,3.74,41,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,41.5,10.38,29,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,32.0,8.0,25,No
JZI,Airlines,Online,Basic Plan,11,HONG KONG,35.0,12.25,64,No
LWC,Travel Agency,Online,Single Trip Travel Protect Silver,2,INDONESIA,25.0,16.25,48,No
JZI,Airlines,Online,Value Plan,55,HONG KONG,58.0,20.3,49,No
JZI,Airlines,Online,Basic Plan,8,MYANMAR,30.0,10.5,36,No
JZI,Airlines,Online,Basic Plan,18,HONG KONG,35.0,12.25,69,No
JZI,Airlines,Online,Basic Plan,13,CHINA,35.0,12.25,64,No
JZI,Airlines,Online,Value Plan,10,"TAIWAN, PROVINCE OF CHINA",58.0,20.3,27,No
RAB,Airlines,Online,Value Plan,56,HONG KONG,23.0,9.2,32,No
JZI,Airlines,Online,Basic Plan,6,MALAYSIA,22.0,7.7,41,No
C2B,Airlines,Online,Bronze Plan,47,SINGAPORE,17.5,4.38,25,No
JZI,Airlines,Online,Basic Plan,55,INDONESIA,33.0,11.55,31,No
C2B,Airlines,Online,Silver Plan,49,SINGAPORE,15.0,3.75,31,No
JZI,Airlines,Online,Basic Plan,13,SRI LANKA,40.0,14.0,56,No
C2B,Airlines,Online,Silver Plan,44,SINGAPORE,63.5,15.88,25,No
JZI,Airlines,Online,Basic Plan,11,PHILIPPINES,30.0,10.5,59,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,35.5,8.88,71,No
JZI,Airlines,Online,Basic Plan,22,"KOREA, REPUBLIC OF",26.0,9.1,38,No
JZI,Airlines,Online,Basic Plan,17,MALAYSIA,22.0,7.7,23,No
JZI,Airlines,Online,Basic Plan,14,CHINA,35.0,12.25,52,No
C2B,Airlines,Online,Silver Plan,27,SINGAPORE,57.0,14.25,25,No
ART,Airlines,Online,24 Protect,1,PHILIPPINES,3.74,1.31,48,No
JZI,Airlines,Online,Basic Plan,33,HONG KONG,26.0,9.1,60,No
KML,Travel Agency,Online,Value Plan,30,INDONESIA,33.0,12.54,48,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,20,No
C2B,Airlines,Online,Bronze Plan,48,SINGAPORE,23.4,5.85,29,No
C2B,Airlines,Online,Silver Plan,29,SINGAPORE,18.5,4.63,36,No
ART,Airlines,Online,24 Protect,3,MALAYSIA,18.07,6.32,48,No
RAB,Airlines,Online,Value Plan,5,BRUNEI DARUSSALAM,15.0,6.0,28,No
JZI,Airlines,Online,Basic Plan,33,PHILIPPINES,58.0,20.3,64,No
TST,Travel Agency,Offline,Travel Cruise Protect,31,MALAYSIA,30.0,10.5,14,Yes
TST,Travel Agency,Offline,Travel Cruise Protect,53,MALAYSIA,30.0,10.5,72,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,20.0,5.0,32,No
TST,Travel Agency,Offline,Travel Cruise Protect,14,THAILAND,30.0,10.5,35,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,45,THAILAND,26.5,17.23,37,No
JZI,Airlines,Online,Basic Plan,6,MALAYSIA,18.0,6.3,58,No
JZI,Airlines,Online,Basic Plan,34,THAILAND,30.0,10.5,37,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,54,No
C2B,Airlines,Online,Gold Plan,20,SINGAPORE,60.0,15.0,75,Yes
JZI,Airlines,Online,Basic Plan,15,THAILAND,22.0,7.7,37,No
JZI,Airlines,Online,Basic Plan,25,CHINA,35.0,12.25,38,No
JZI,Airlines,Online,Basic Plan,89,CHINA,22.0,7.7,40,No
JZI,Airlines,Online,Basic Plan,12,MALAYSIA,18.0,6.3,47,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.0,7.25,25,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,29.5,7.38,30,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,32.9,8.22,22,No
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,53.0,13.25,43,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,39.0,9.75,40,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,30.55,7.64,29,No
C2B,Airlines,Online,Bronze Plan,58,SINGAPORE,23.0,5.75,29,No
JZI,Airlines,Online,Value Plan,25,"KOREA, REPUBLIC OF",58.0,20.3,32,No
JZI,Airlines,Online,Basic Plan,15,MALAYSIA,22.0,7.7,56,No
JZI,Airlines,Online,Basic Plan,22,INDIA,35.0,12.25,39,No
JZI,Airlines,Online,Basic Plan,32,PHILIPPINES,30.0,10.5,47,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,41.5,10.38,32,No
JZI,Airlines,Online,Value Plan,23,CHINA,45.0,15.75,53,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,6,VIET NAM,25.0,16.25,21,No
C2B,Airlines,Online,Silver Plan,95,SINGAPORE,29.5,7.38,32,No
JZI,Airlines,Online,Basic Plan,13,HONG KONG,0.0,9.1,64,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,15.0,3.75,29,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,40.5,10.13,40,No
JZI,Airlines,Online,Basic Plan,121,PHILIPPINES,37.0,12.95,32,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.0,7.25,36,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,57,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,62.0,15.5,53,No
RAB,Airlines,Online,Value Plan,85,BRUNEI DARUSSALAM,23.0,9.2,25,No
C2B,Airlines,Online,Silver Plan,11,SINGAPORE,33.5,8.38,52,No
JZI,Airlines,Online,Value Plan,9,"TAIWAN, PROVINCE OF CHINA",45.0,15.75,63,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,17.0,4.25,27,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,47.5,11.88,43,No
JZI,Airlines,Online,Basic Plan,8,CHINA,35.0,12.25,32,No
C2B,Airlines,Online,Bronze Plan,66,SINGAPORE,27.0,6.75,50,No
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,35,THAILAND,19.8,11.88,24,No
JZI,Airlines,Online,Basic Plan,2,MALAYSIA,18.0,6.3,42,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,35,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,40.0,10.0,29,No
JZI,Airlines,Online,Basic Plan,70,JAPAN,35.0,12.25,71,No
JZI,Airlines,Online,Basic Plan,26,THAILAND,18.0,6.3,34,No
JZI,Airlines,Online,Basic Plan,13,THAILAND,18.0,6.3,44,No
C2B,Airlines,Online,Bronze Plan,15,SINGAPORE,30.55,7.64,28,No
JZI,Airlines,Online,Basic Plan,16,HONG KONG,26.0,9.1,30,No
JZI,Airlines,Online,Basic Plan,14,PHILIPPINES,18.0,6.3,40,No
JZI,Airlines,Online,Basic Plan,26,CHINA,35.0,12.25,51,No
JZI,Airlines,Online,Basic Plan,20,HONG KONG,26.0,9.1,33,No
JZI,Airlines,Online,Basic Plan,11,THAILAND,22.0,7.7,45,No
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,45.5,11.38,69,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,18.0,6.3,43,No
CCR,Travel Agency,Offline,Comprehensive Plan,30,THAILAND,29.0,9.57,69,No
ART,Airlines,Online,24 Protect,8,PHILIPPINES,8.63,3.02,48,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,49.0,12.25,32,No
JZI,Airlines,Online,Basic Plan,6,"KOREA, REPUBLIC OF",26.0,9.1,57,No
CCR,Travel Agency,Offline,Comprehensive Plan,86,CHINA,50.0,16.5,72,No
JZI,Airlines,Online,Basic Plan,38,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,42,No
C2B,Airlines,Online,Silver Plan,13,SINGAPORE,54.5,13.63,48,No
JZI,Airlines,Online,Basic Plan,23,CHINA,35.0,12.25,53,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,37.0,9.25,50,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,18.5,4.63,27,No
RAB,Airlines,Online,Value Plan,2,BRUNEI DARUSSALAM,15.0,6.0,38,No
JZI,Airlines,Online,Basic Plan,19,"TAIWAN, PROVINCE OF CHINA",22.0,7.7,47,No
JZI,Airlines,Online,Basic Plan,32,MACAO,22.0,7.7,54,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,11.5,2.88,34,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,35.5,8.88,31,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,31,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,29.0,7.25,31,No
JZI,Airlines,Online,Basic Plan,10,THAILAND,18.0,6.3,56,No
C2B,Airlines,Online,Silver Plan,5,SINGAPORE,24.05,6.01,26,No
C2B,Airlines,Online,Bronze Plan,21,SINGAPORE,13.5,3.38,29,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,18.0,4.5,31,No
JZI,Airlines,Online,Basic Plan,1,INDONESIA,18.0,6.3,43,No
JZI,Airlines,Online,Basic Plan,10,CHINA,26.0,9.1,53,No
TST,Travel Agency,Offline,Travel Cruise Protect,17,MALAYSIA,30.0,10.5,73,No
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,33.5,8.38,29,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,23.4,5.85,35,No
C2B,Airlines,Online,Gold Plan,5,SINGAPORE,35.1,8.78,34,No
KML,Travel Agency,Online,Value Plan,41,INDONESIA,33.0,12.54,48,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.5,4.38,39,No
JZI,Airlines,Online,Basic Plan,48,THAILAND,18.0,6.3,32,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,16.0,4.0,32,No
JZI,Airlines,Online,Basic Plan,111,"KOREA, REPUBLIC OF",40.0,14.0,36,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,21.0,5.25,56,No
C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,18.0,4.5,28,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,23.5,5.88,24,No
CCR,Travel Agency,Offline,Comprehensive Plan,76,THAILAND,29.0,9.57,38,No
C2B,Airlines,Online,Silver Plan,50,SINGAPORE,22.5,5.63,61,No
CCR,Travel Agency,Offline,Comprehensive Plan,45,THAILAND,29.0,9.57,21,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,53.5,13.38,30,No
C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,16.0,4.0,31,No
C2B,Airlines,Online,Bronze Plan,22,SINGAPORE,53.5,13.38,25,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,64,THAILAND,31.0,20.15,53,No
JZI,Airlines,Online,Basic Plan,15,INDONESIA,22.0,7.7,34,No
JZI,Airlines,Online,Basic Plan,16,CHINA,26.0,9.1,57,No
RAB,Airlines,Online,Value Plan,13,BRUNEI DARUSSALAM,23.0,9.2,45,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,16.0,4.0,62,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,22.5,5.63,16,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,24.05,6.01,42,No
RAB,Airlines,Online,Value Plan,14,BRUNEI DARUSSALAM,15.0,6.0,45,No
JZI,Airlines,Online,Value Plan,5,JAPAN,45.0,15.75,30,No
JZI,Airlines,Online,Basic Plan,48,PHILIPPINES,37.0,12.95,38,No
JZI,Airlines,Online,Basic Plan,6,CHINA,26.0,9.1,40,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,22.5,5.63,26,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,48.5,12.13,20,No
C2B,Airlines,Online,Silver Plan,42,SINGAPORE,39.0,9.75,31,No
JZI,Airlines,Online,Basic Plan,115,"KOREA, REPUBLIC OF",35.0,12.25,27,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,18.0,6.3,49,No
JZI,Airlines,Online,Basic Plan,13,CAMBODIA,30.0,10.5,47,No
JZI,Airlines,Online,Basic Plan,15,THAILAND,22.0,7.7,49,No
C2B,Airlines,Online,Silver Plan,31,SINGAPORE,49.0,12.25,42,No
ART,Airlines,Online,24 Protect,19,PHILIPPINES,20.59,7.21,48,No
JZI,Airlines,Online,Basic Plan,13,HONG KONG,22.0,7.7,27,No
JZI,Airlines,Online,Basic Plan,51,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,35,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,44.85,11.21,40,No
JZI,Airlines,Online,Basic Plan,21,THAILAND,18.0,6.3,36,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,13.5,3.38,19,No
JZI,Airlines,Online,Basic Plan,4,INDONESIA,18.0,6.3,71,No
JZI,Airlines,Online,Basic Plan,4,MALAYSIA,18.0,6.3,32,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.55,4.39,25,No
JZI,Airlines,Online,Basic Plan,7,CHINA,22.0,7.7,23,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,20.0,5.0,26,No
C2B,Airlines,Online,Bronze Plan,105,SINGAPORE,29.5,7.38,33,No
JZI,Airlines,Online,Basic Plan,14,HONG KONG,26.0,9.1,47,No
JZI,Airlines,Online,Basic Plan,75,AUSTRALIA,22.0,7.7,54,No
JZI,Airlines,Online,Basic Plan,30,HONG KONG,26.0,9.1,42,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,13.5,3.38,27,No
JZI,Airlines,Online,Basic Plan,9,PHILIPPINES,22.0,7.7,36,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,20.0,5.0,33,No
JZI,Airlines,Online,Basic Plan,7,HONG KONG,26.0,9.1,62,No
C2B,Airlines,Online,Bronze Plan,30,SINGAPORE,23.5,5.88,40,No
JZI,Airlines,Online,Basic Plan,29,CHINA,26.0,9.1,29,No
RAB,Airlines,Online,Value Plan,28,BRUNEI DARUSSALAM,15.0,6.0,61,No
JZI,Airlines,Online,Basic Plan,5,THAILAND,22.0,7.7,59,No
C2B,Airlines,Online,Silver Plan,41,SINGAPORE,57.0,14.25,28,No
JZI,Airlines,Online,Basic Plan,20,CHINA,26.0,9.1,44,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,26.5,6.63,33,No
JZI,Airlines,Online,Basic Plan,6,PHILIPPINES,18.0,6.3,38,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,47.5,11.88,55,No
JZI,Airlines,Online,Basic Plan,27,THAILAND,37.0,12.95,61,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,16.0,4.0,71,No
JZI,Airlines,Online,Basic Plan,24,INDIA,35.0,12.25,53,No
ART,Airlines,Online,24 Protect,2,PHILIPPINES,8.85,3.1,48,No
JZI,Airlines,Online,Basic Plan,8,MALAYSIA,22.0,7.7,20,No
JZI,Airlines,Online,Value Plan,88,AUSTRALIA,58.0,20.3,72,No
JZI,Airlines,Online,Basic Plan,12,HONG KONG,35.0,12.25,42,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,27.0,6.75,22,No
JZI,Airlines,Online,Basic Plan,7,THAILAND,22.0,7.7,54,No
C2B,Airlines,Online,Bronze Plan,11,SINGAPORE,13.5,3.38,31,No
C2B,Airlines,Online,Silver Plan,8,SINGAPORE,41.5,10.38,44,No
C2B,Airlines,Online,Bronze Plan,12,SINGAPORE,27.0,6.75,27,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,24.5,6.13,29,No
JZI,Airlines,Online,Basic Plan,30,HONG KONG,26.0,9.1,48,No
JZI,Airlines,Online,Basic Plan,2,CHINA,22.0,7.7,45,No
JZI,Airlines,Online,Value Plan,18,AUSTRALIA,58.0,20.3,35,No
KML,Travel Agency,Online,Value Plan,40,INDONESIA,28.0,10.64,48,No
TST,Travel Agency,Offline,Travel Cruise Protect,33,THAILAND,30.0,10.5,83,No
JZI,Airlines,Online,Basic Plan,95,THAILAND,22.0,7.7,54,No
JZI,Airlines,Online,Basic Plan,22,"TAIWAN, PROVINCE OF CHINA",40.0,14.0,50,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,30.55,7.64,35,No
JZI,Airlines,Online,Value Plan,11,JAPAN,36.0,12.6,49,No
C2B,Airlines,Online,Bronze Plan,20,SINGAPORE,13.5,3.38,52,No
JZI,Airlines,Online,Basic Plan,34,CHINA,22.0,7.7,46,No
JZI,Airlines,Online,Basic Plan,20,HONG KONG,26.0,9.1,54,No
JZI,Airlines,Online,Basic Plan,13,VIET NAM,30.0,10.5,28,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,20.0,5.0,31,No
JZI,Airlines,Online,Value Plan,36,AUSTRALIA,58.0,20.3,49,No
JZI,Airlines,Online,Basic Plan,22,CHINA,22.0,7.7,54,No
ART,Airlines,Online,24 Protect,13,UNITED ARAB EMIRATES,33.79,11.83,48,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,17.55,4.39,67,No
